,eLower,eUpper,dead_asymmetry_thrown_beta,dead_asymmetry_type0_beta,dead_corrected_asymmetry_type0_beta,err_dead_asymmetry_thrown_beta,err_dead_asymmetry_type0_beta,err_dead_corrected_asymmetry_type0_beta,dead_correction_misbs,dead_correction_misbs_thrown,err_dead_correction_misbs,err_dead_correction_misbs_thrown,threshold,thickness,dead_precision_type0_corrected_asymmetry,dead_precision_type0_correction,n_KE,n_Type0,n_Type1,weighted_corrected_asymmetry_type0,dead_err_weight,err_dead_weighted_corrected_asymmetry_type0
47,300,675,-0.11756994918879507,-0.11954532745849424,-0.11960692037941631,0.001432807738821219,0.0014583112998625377,0.0013857553493403583,0.0004987091858343188,,0.002072712807325809,,0,dead_layer_0,-0.011585912796220102,4.156155262827675,89605228.0,85901449.0,1551854.0,-0.11466303920368899,0.0001962478918884491,-0.00015608743383362024
48,50,740,-0.11682894915077961,-0.1182899252526303,-0.11944490491988767,0.0005532645324616536,0.0005147632916640552,0.0005059504828536264,0.009716146602203376,,0.001492508505539916,,0,dead_layer_0,-0.004235848177810263,0.15361115539379086,181898675.0,177382147.0,3172566.0,-0.11647909850305693,0.0001419104764375581,-5.690800725607191e-05
49,75,740,-0.11713691455524308,-0.11850477560873468,-0.11956858573121343,0.000525124059794615,0.0005144762027651517,0.0005237804136898341,0.008957502210472416,,0.0014401576913753021,,0,dead_layer_0,-0.004380585506524905,0.16077670510553507,175459357.0,170791938.0,3057288.0,-0.11638792498796795,0.00014403251768220778,-5.8902533480983604e-05
50,100,740,-0.11715778885573455,-0.11854274191301024,-0.11950394226505537,0.0005601050112167274,0.0005491371154968525,0.000557926166874875,0.008098658031339584,,0.0014176823270521837,,0,dead_layer_0,-0.004668684198195028,0.1750515111968109,167966095.0,163217163.0,2921723.0,-0.11612518838291819,0.000146768445770079,-6.269325284668764e-05
51,125,740,-0.11702766049667827,-0.11844169230104316,-0.1192561650959215,0.0005999272358595108,0.000591269747104946,0.0005837942470202588,0.006869909101033649,,0.00132754945062853,,0,dead_layer_0,-0.004895296159747336,0.1932411959320956,159641253.0,154868437.0,2771299.0,-0.11569074749757394,0.0001501070408268632,-6.540476554738648e-05
52,150,740,-0.11692376345449118,-0.11849954339988783,-0.11922328448452785,0.0006538374678152889,0.0006473947898101699,0.0006398033395104281,0.006106667102383288,,0.0013823719029427697,,0,dead_layer_0,-0.005366429404093949,0.2263709286532522,150666481.0,145920207.0,2610908.0,-0.11546752957747909,0.00015406658787874407,-7.168657903508108e-05
53,175,740,-0.11700444340229683,-0.11839121437133263,-0.11911461894940473,0.0007226965731847949,0.0007155784088006956,0.0007071088710013322,0.00610728231430618,,0.0015343058051244406,,0,dead_layer_0,-0.005936373530285855,0.25122562314343344,141204621.0,136519936.0,2444237.0,-0.11516280444984248,0.00015866404844661576,-7.918146871561646e-05
54,190,740,-0.11677337514544985,-0.11812788564271698,-0.11865898410103251,0.0007991248066802957,0.0007895299426984529,0.0007526180226934476,0.0044892738006428075,,0.001477079362322448,,0,dead_layer_0,-0.0063426973388936905,0.32902412013964233,131399000.0,126812340.0,2273603.0,-0.11451703160507104,0.000163963676127683,-8.387898079050758e-05
55,200,740,-0.11677337514544985,-0.11812788564271698,-0.11865898410103251,0.0007991248066802957,0.0007895299426984529,0.0007526180226934476,0.0044892738006428075,,0.001477079362322448,,0,dead_layer_0,-0.0063426973388936905,0.32902412013964233,131399000.0,126812340.0,2273603.0,-0.11451703160507104,0.000163963676127683,-8.387898079050758e-05
56,225,740,-0.11678526449625948,-0.1183379843822564,-0.11890163679028726,0.0009045630247578953,0.000888074964396265,0.0008433120453067173,0.004753954568566213,,0.0016673341724785416,,0,dead_layer_0,-0.0070925183880698696,0.3507257270616719,121369623.0,116912545.0,2099971.0,-0.11453519108169359,0.00017004287430542574,-9.418490824161168e-05
57,250,740,-0.1167641711986813,-0.11815526771686968,-0.11852437695273721,0.0010346663137676872,0.0010130369191801644,0.0009453344678098016,0.0031120026892409573,,0.0017007628333683066,,0,dead_layer_0,-0.007975865320825632,0.5465171477030878,111245033.0,106945463.0,1925467.0,-0.1139434636151082,0.00017699206813288502,-0.00010522829402011446
58,275,740,-0.11706963091575504,-0.11867664310234337,-0.1188547163564753,0.0011850254876586209,0.001140471988012786,0.0010808507811753375,0.001502885954717004,,0.0017688479261913064,,0,dead_layer_0,-0.009093882130294207,1.1769675008536382,101129468.0,97017205.0,1750034.0,-0.11402168537041071,0.0001849540458678012,-0.00012062768480596071
59,300,740,-0.11707501622783366,-0.11902818428316889,-0.11904492142425549,0.0013847416927120076,0.0013221596362662327,0.0012613388771520134,0.0001437693239860227,,0.001938549148393461,,0,dead_layer_0,-0.010595486662188805,13.483746703726085,91130740.0,87235314.0,1574917.0,-0.11395629071540793,0.00019409817565470223,-0.00014098679995663144
60,50,600,-0.11701365978050919,-0.11817681469014091,-0.11954746387872009,0.0005274120348584585,0.0005472079376627831,0.0005315816000667363,0.011533304419706503,,0.0018556837769962654,,10,dead_layer_0,-0.004446615451466384,0.16089784067656548,174134216.0,170451755.0,2913373.0,-0.11701936294890458,0.0001459988793549835,-6.011878317747906e-05
61,75,600,-0.11738606481060387,-0.11846510061151676,-0.11971716437142188,0.00045650018619147737,0.0005275107509756515,0.000546940429918814,0.010545460442772629,,0.0017654642738997692,,10,dead_layer_0,-0.004568604951433147,0.16741462200540866,167694898.0,163840245.0,2821123.0,-0.11696533272776749,0.00014828721311333377,-6.184778745421888e-05
62,100,600,-0.1174342251707706,-0.11854851134599016,-0.11965140059702434,0.0004921473363469952,0.0005676667080668139,0.0005900622106384712,0.00929804006271076,,0.0016608091584031889,,10,dead_layer_0,-0.004931511103875417,0.17861927322337162,160201636.0,156250038.0,2702239.0,-0.11670003101615188,0.00015125963964641783,-6.669477605557342e-05
63,125,600,-0.11731253779285673,-0.11845165142484242,-0.11938364907699565,0.0005338445124566352,0.0006207054826454284,0.0006222630968561001,0.007865398867692957,,0.0015387753390022994,,10,dead_layer_0,-0.005212297510312956,0.19563856390332637,151876794.0,147889339.0,2564498.0,-0.11624928657240978,0.00015490784911460353,-7.012982381789317e-05
64,150,600,-0.11722748551558303,-0.1185422804191305,-0.1193805923927641,0.00059252131414242,0.0006903576804712658,0.0006946128388802968,0.007074418172047948,,0.001636658546409527,,10,dead_layer_0,-0.0058184737146806005,0.2313488553555121,142902022.0,138931084.0,2414551.0,-0.11606326402917427,0.0001592587949129798,-7.834932063430207e-05
65,175,600,-0.11737408110461797,-0.11843940034546016,-0.11929038763548933,0.0006637021360503965,0.0007791638787509552,0.0007846195979742901,0.007186099758547838,,0.0018534286054346712,,10,dead_layer_0,-0.006577391636716108,0.25791857442975585,133440162.0,129522036.0,2256840.0,-0.11578773324464192,0.0001643420491676781,-8.851070504238349e-05
66,190,600,-0.11715244661038504,-0.11813720308288365,-0.11878360746303603,0.0007489007371738437,0.0008753986475431687,0.000845397448032155,0.005462258696721098,,0.001850316370278757,,10,dead_layer_0,-0.007117122186200921,0.33874564955875686,123634541.0,119807101.0,2093938.0,-0.11510634116778345,0.00017024458187359383,-9.490853341818421e-05
67,200,600,-0.11715244661038504,-0.11813720308288365,-0.11878360746303603,0.0007489007371738437,0.0008753986475431687,0.000845397448032155,0.005462258696721098,,0.001850316370278757,,10,dead_layer_0,-0.007117122186200921,0.33874564955875686,123634541.0,119807101.0,2093938.0,-0.11510634116778345,0.00017024458187359383,-9.490853341818421e-05
68,225,600,-0.11724107943335746,-0.11843037029462777,-0.11913775637968842,0.0008698918734311367,0.0010043064418467826,0.00096116796177761,0.0059628955755090685,,0.0021326088991072637,,10,dead_layer_0,-0.008067702389109938,0.35764652794966934,113605164.0,109900770.0,1927055.0,-0.11525295771062105,0.00017707226118907234,-0.00010826412130618438
69,250,600,-0.11731021079232154,-0.11823677083191059,-0.11869556268984668,0.0010265605399802872,0.0011818572886524881,0.0011044408441419499,0.00385774620942705,,0.002176953936335213,,10,dead_layer_0,-0.009304819987482352,0.5643071934113916,103480574.0,99927852.0,1758562.0,-0.11462047573806193,0.00018495482284958158,-0.00012398577369313396
70,275,600,-0.11784657136913547,-0.11898553032585134,-0.11920315118720337,0.0011870271139096632,0.0013442226710314953,0.0012900897899778341,0.0018140737306974958,,0.0022872205070059125,,10,dead_layer_0,-0.010822614814534594,1.2608200363093818,93365009.0,89994186.0,1588618.0,-0.11489947545260025,0.00019409275145840517,-0.0001454727003103725
71,300,600,-0.11805114329858071,-0.11956001566908041,-0.1195762902720794,0.0014432284508668542,0.0016039041745025378,0.0015595158996588724,0.00010594029498252599,,0.002583560539714217,,10,dead_layer_0,-0.013042016072838591,24.386948706725374,83366281.0,80207348.0,1418535.0,-0.11504527983444154,0.0002047371053095371,-0.0001764875117943842
72,50,625,-0.11675882023682696,-0.11800416257897957,-0.11935088670823386,0.000563842933787175,0.0005508308826139684,0.0005451557824874315,0.011323579542183633,,0.001780880185080867,,10,dead_layer_0,-0.00456767266271028,0.15727183956685864,176834142.0,172952756.0,2957481.0,-0.11673121804290947,0.00014467250908531648,-6.157589154824699e-05
73,75,625,-0.11709826037857737,-0.1182684214110867,-0.11950005233343264,0.0005200991381094986,0.0005398576779835216,0.0005647832852176294,0.010366921873533852,,0.0016875237888961518,,10,dead_layer_0,-0.0047262178901960146,0.16277963791781838,170394824.0,166341246.0,2865231.0,-0.1166572266432717,0.00014689630776829458,-6.378833387162243e-05
74,100,625,-0.1171183387668837,-0.11832987817817912,-0.1194171455472955,0.000560170414947153,0.0005807096559697692,0.0006062826684069451,0.009161656964964343,,0.0015790686408444603,,10,dead_layer_0,-0.005077015244572439,0.1723562284511496,162901562.0,158751039.0,2746347.0,-0.11637454974217734,0.00014978255515222781,-6.841990521713512e-05
75,125,625,-0.11696721239918588,-0.11821261283094192,-0.119135302863606,0.0006038505566047738,0.0006310434750189006,0.0006358177951717393,0.007784333174839339,,0.0014539072575683138,,10,dead_layer_0,-0.005336938589056727,0.18677351353198227,154576720.0,150390340.0,2608606.0,-0.11590877787845853,0.0001533207469752291,-7.152074843979836e-05
76,150,625,-0.11684127809420569,-0.11826672492397695,-0.1190992428799583,0.0006649958632603303,0.0007002284925114447,0.0007060180358928441,0.007024555140119369,,0.0015374579448339937,,10,dead_layer_0,-0.005927980890730339,0.21886908340331818,145601948.0,141432085.0,2458659.0,-0.1156883851748598,0.00015753395944750803,-7.944352560398693e-05
77,175,625,-0.11692237600296063,-0.11812801024918937,-0.11897165742358067,0.0007462637964273685,0.0007839661832348701,0.0007912386191284405,0.007122276426679527,,0.0017313970594060265,,10,dead_layer_0,-0.006650648030491452,0.24309602094638444,136140088.0,132023037.0,2300948.0,-0.11537380180028027,0.00016244682989938685,-8.898889372183545e-05
